South Acton Ward,	51.4972855771,	-0.28838657907,	51.5150458576,	-0.263715348958
Southfield Ward,	51.4939359465,	-0.274260671638,	51.506704089,	-0.25092506766
Acton Central Ward,	51.5065242775,	-0.288638878351,	51.5244285383,	-0.25912754659
Hanger Hill Ward,	51.5150547472,	-0.310087152469,	51.5386649854,	-0.277797785843
Upminster Ward,	51.5176705497,	0.215547963938,	51.5658163424,	0.334015563634
Rainham and Wennington Ward,	51.4841500503,	0.173464361874,	51.5382259238,	0.244961853053
South Hornchurch Ward,	51.5028365887,	0.157873407944,	51.5393544598,	0.209396755313
Elm Park Ward,	51.5300494722,	0.17378149755,	51.5564588454,	0.217022188299
Brooklands Ward,	51.5616061102,	0.146642271635,	51.5864037484,	0.187006974066
Romford Town Ward,	51.5665078022,	0.170403601706,	51.5875500452,	0.204712165778
Mawneys Ward,	51.5803844519,	0.147657585671,	51.601709073,	0.175518339994
Pettits Ward,	51.5821998559,	0.165331828848,	51.6037524554,	0.212741975559
Hacton Ward,	51.5420599496,	0.199305547109,	51.5590718751,	0.239674287837
St. Andrew's Ward,	51.549818468,	0.19728099185,	51.5704380437,	0.239675179575
Emerson Park Ward,	51.5625100775,	0.20154161689,	51.5884515165,	0.25145302185
Squirrel's Heath Ward,	51.5735569391,	0.192022312853,	51.5926695256,	0.231565057998
Harold Wood Ward,	51.5770118419,	0.212741975559,	51.6091896943,	0.270900418695
Cranham Ward,	51.5588445082,	0.233342645943,	51.5902850189,	0.290173606928
Havering Park Ward,	51.5978367423,	0.138156947655,	51.6258506659,	0.210126856989
Heaton Ward,	51.5926695256,	0.192947926356,	51.6215731372,	0.221706927543
Gooshays Ward,	51.5998865658,	0.195831658585,	51.6317344638,	0.263231370354
Hylands Ward,	51.5526789774,	0.182618765595,	51.5743171673,	0.213358209858
Heathrow Villages Ward,	51.4532666834,	-0.510375069372,	51.5026136218,	-0.411154483922
Harefield Ward,	51.5713433505,	-0.500902587913,	51.6317590261,	-0.441159453901
West Drayton Ward,	51.4943561388,	-0.490136320081,	51.5100652935,	-0.44285585184
Yiewsley Ward,	51.5073202154,	-0.49235586173,	51.5265285045,	-0.443766717861
